Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2026/08/09 01:20

Monthly Maximum Values  ordered by  DATE

W1H004   Mlalazi River @ Eshowe

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
    ,19830801, 00:00,  0.000,    0.000,
    ,19830901, 00:00,  0.000,    0.000,
1984,19831001, 00:00,  0.000,    0.000,
    ,19831110, 19:00,  0.174,    0.454,
    ,19831218, 04:06,  0.135,    0.256,
    ,19840131, 09:48,  1.036,   38.711,
    ,19840218, 10:12,  2.864,  297.330,
    ,19840308, 11:00,  0.261,    1.286,
    ,19840410, 15:48,  0.487,    5.350,
    ,19840501, 19:30,  0.098,    0.159,
    ,19840615, 07:54,  0.073,    0.103,
    ,19840725, 12:42,  0.170,    0.426,
    ,19840831, 23:00,  0.132,    0.247,
    ,19840901, 04:18,  0.143,    0.278,
1985,19841030, 11:00,  0.100,    0.164,
    ,19841121, 07:48,  0.097,    0.156,
    ,19841224, 03:12,  0.294,    1.709,
    ,19850117, 22:18,  0.541,    7.026,M
    ,19850209, 19:06,  1.376,   71.281,
    ,19850302, 22:12,  0.369,    2.889,
    ,19850401, 08:54,  0.060,    0.076,M
    ,19850501, 00:00,  0.000,    0.000,
    ,19850601, 00:00,  0.000,    0.000,
    ,19850701, 00:00,  0.000,    0.000,
    ,19850801, 00:00,  0.000,    0.000,M
    ,19850909, 18:30,  0.083,    0.124,
1986,19851031, 23:59,  0.500,    5.706,
    ,19851101, 00:12,  0.502,    5.776,
    ,19851227, 23:06,  0.078,    0.113,
    ,19860118, 12:18,  0.186,    0.544,
    ,19860214, 02:12,  0.069,    0.094,
    ,19860301, 00:00,  0.000,    0.000,
    ,19860412, 07:36,  0.063,    0.082,
    ,19860501, 00:00,  0.000,    0.000,
    ,19860601, 00:00,  0.000,    0.000,
    ,19860701, 00:00,  0.000,    0.000,
    ,19860801, 00:00,  0.000,    0.000,M
    ,19860901, 00:00,  0.000,    0.000,
1987,19861001, 00:00,  0.000,    0.000,
    ,19861101, 00:00,  0.000,    0.000,
    ,19861208, 00:36,  0.144,    0.281,
    ,19870124, 00:30,  0.045,    0.048,
    ,19870201, 00:00,  0.000,    0.000,
    ,19870307, 03:12,  0.289,    1.641,
    ,19870401, 00:00,  0.015,    0.007,
    ,19870522, 06:36,  0.196,    0.625,
    ,19870626, 17:06,  0.039,    0.039,
    ,19870701, 00:00,  0.020,    0.012,
    ,19870825, 17:24,  0.062,    0.080,
    ,19870929, 00:48,  1.709,         ,Z
1988,19871001, 00:00,  0.022,         ,Z
    ,19871128, 03:54,  0.158,         ,Z
    ,19871204, 06:24,  0.297,         ,Z
    ,19880119, 09:36,  0.216,         ,Z
    ,19880208, 18:18,  1.061,         ,Z
    ,19880315, 23:54,  0.763,         ,Z
    ,19880401, 04:54,  0.119,         ,Z
    ,19880505, 19:12,  0.063,         ,Z
    ,19880609, 05:24,  0.031,         ,Z
